date,lat,lon,smajax,sminax,strike,q,depth,unc,q,mw,unc,q,s,mo,fac,mo_auth,mpp,mpr,mrr,mrt,mtp,mtt,eventid
1920-10-1206:54:51.94,35.426,80.532,18.8,8.1,63.6,C,20.0,25.0,C,6.71,0.20,C,p,,,,,,,,,,912635
1920-11-1608:31:00.77,72.736,-131.308,15.4,9.1,94.2,B,15.0,25.0,C,6.42,0.20,C,p,,,,,,,,,,912664
1920-12-0510:01:09.79,0.094,-19.726,27.1,14.3,121.9,C,10.0,25.0,C,6.42,0.60,C,p,,,,,,,,,,912678
1920-12-1004:26:07.03,-37.723,-70.256,26.0,17.7,85.5,C,15.0,25.0,C,7.30,0.33,C,p,,,,,,,,,,912683
1920-12-1612:05:55.42,36.888,105.606,11.0,7.8,42.5,A,15.0,25.0,C,8.30,0.30,B,d,3.00,21,bibliog,,,,,,,912687
1920-12-2511:33:20.70,37.241,105.484,13.6,8.2,35.2,B,15.0,25.0,C,6.81,0.70,C,p,,,,,,,,,,912694
1921-01-0207:06:35.83,43.942,150.501,28.5,9.0,126.6,C,35.0,18.9,C,6.29,0.24,C,p,,,,,,,,,,912136
1921-02-0408:22:41.29,15.681,-90.805,15.0,11.9,10.4,C,15.0,25.0,C,6.99,0.58,C,p,,,,,,,,,,912158
1921-02-1401:00:51.92,5.146,128.892,32.4,11.9,57.6,C,15.0,25.0,C,6.32,0.21,B,p,,,,,,,,,,912164
1921-02-1914:33:48.73,-0.856,133.853,15.5,11.6,79.1,B,15.0,4.6,C,6.35,0.20,C,p,,,,,,,,,,912166
1921-02-1918:14:43.70,-2.004,139.085,17.8,9.1,76.8,B,25.0,11.4,C,6.86,0.43,C,p,,,,,,,,,,912167
1921-02-2718:23:37.41,-18.887,-173.042,13.6,8.2,133.5,B,15.0,13.8,C,7.38,0.34,C,p,,,,,,,,,,912172
1921-03-0506:24:18.74,7.401,93.638,23.0,21.3,58.0,C,20.0,24.2,C,6.58,0.59,C,p,,,,,,,,,,912177
1921-03-2807:49:30.10,13.635,-87.090,13.9,7.8,30.2,C,15.0,25.0,C,7.31,0.44,C,p,,,,,,,,,,912192
1921-04-0104:06:45.04,1.770,98.148,15.9,11.4,28.7,C,35.0,7.8,C,6.85,0.47,C,p,,,,,,,,,,912197
1921-04-0112:00:43.66,-11.622,164.785,15.8,13.5,74.6,A,35.0,4.7,C,6.47,0.24,C,p,,,,,,,,,,912198
1921-04-0209:36:53.26,23.801,124.829,10.6,6.6,100.1,B,15.0,8.2,C,6.95,0.38,C,p,,,,,,,,,,912199
1921-05-0105:39:09.05,18.594,-104.277,14.9,9.3,50.0,C,15.0,15.9,C,6.42,0.20,C,p,,,,,,,,,,912214
1921-05-1203:40:23.15,-5.791,154.110,17.4,14.1,91.7,C,35.0,19.2,C,6.38,0.20,C,p,,,,,,,,,,912221
1921-05-1420:18:11.88,-29.836,-175.907,34.4,12.1,137.1,C,15.0,25.0,C,6.23,0.20,C,p,,,,,,,,,,912228
1921-05-2108:42:12.37,12.669,125.524,21.0,11.4,78.8,B,35.0,11.1,C,6.44,0.22,C,p,,,,,,,,,,912236
1921-05-2122:26:02.64,48.936,155.457,15.5,9.9,130.0,C,35.0,10.8,C,6.33,0.29,C,p,,,,,,,,,,912238
1921-06-2813:58:43.24,-39.682,176.888,17.4,10.5,148.9,C,25.0,10.2,C,6.70,0.30,B,d,1.30,19,bibliog,,,,,,,912264
1921-09-1104:01:44.99,-10.080,110.623,15.1,8.4,42.0,B,15.0,25.0,C,7.59,0.60,C,p,,,,,,,,,,912309
1921-09-1302:36:59.50,-55.690,-28.730,18.1,13.6,59.7,B,35.0,18.7,C,6.91,0.25,B,p,,,,,,,,,,912313
1921-10-1002:06:08.75,-3.066,138.690,22.1,20.9,30.4,C,35.0,23.1,C,6.56,0.20,C,p,,,,,,,,,,912337
1921-10-1504:58:19.15,-12.745,166.868,18.0,13.9,101.7,B,35.0,23.0,C,7.10,0.28,C,p,,,,,,,,,,912341
1921-11-0715:59:53.22,7.145,126.849,16.6,10.0,77.4,B,35.0,13.8,C,6.63,0.62,C,p,,,,,,,,,,912359
1921-11-1118:36:20.34,7.563,127.339,13.4,7.8,66.6,B,15.0,11.8,C,7.39,0.40,C,p,,,,,,,,,,912362
1921-11-1308:40:57.92,11.829,-71.461,14.6,8.9,104.5,C,15.0,42.7,C,6.35,0.52,C,p,,,,,,,,,,912363
